Weekdag,Aardgas,Ander,Nucleair,Olie,Steenkool,Water,Wind
Maandag,1543.500876795977,440.36843498563223,3708.406868414751,0.3448057950191571,0.0,157.53594468390804,988.6354058908046
Dinsdag,1729.7133276605944,439.95447411313523,3727.3173428811124,0.13056675455417066,0.0,160.031006232023,960.7989573346117
Woensdag,1716.6086624273257,433.5193132267442,3713.6531795058136,0.1810732800387597,0.0,154.07831928294576,1027.9780491763565
Donderdag,1704.659168362403,444.4479596656977,3724.896029190891,0.23264498546511628,0.0,159.45884217538762,990.5644586967054
Vrijdag,1493.8243966812015,446.1933558624031,3724.3719813468992,0.15423037790697675,0.0,156.78243362403103,1066.7480767926356
Zaterdag,1079.48187003003,450.3866578188806,3683.9351333173195,0.09914136440067259,0.0,130.75456954119628,969.1470389142446
Zondag,935.0911639128352,444.1161980363985,3686.434453304598,0.26136530172413797,0.0,116.61381477490421,974.4949444444444
