Date,MW
2023-12-20,29.194034852546917
2023-12-21,15.692851127819548
2023-12-22,11.298982706766918
2023-12-23,26.401865413533834
2023-12-24,7.043075939849624
2023-12-25,8.00746992481203
2023-12-26,62.668527067669174
2023-12-27,24.951961654135335
2023-12-28,49.92566766917294
2023-12-29,19.89304962406015
2023-12-30,58.0492037593985
2023-12-31,25.973198496240602
2024-01-01,42.141755639097745
2024-01-02,6.370253383458646
2024-01-03,27.79404360902256
2024-01-04,68.05468195488722
2024-01-05,16.54125112781955
2024-01-06,11.721536842105264
2024-01-07,8.322282706766918
2024-01-08,32.156737593984964
2024-01-09,153.78682631578945
2024-01-10,124.20926165413533
2024-01-11,143.69337518796993
2024-01-12,18.12442030075188
2024-01-13,8.503072180451127
2024-01-14,14.088795488721805
2024-01-15,68.33093458646616
2024-01-16,120.67382857142857
2024-01-17,7.474930827067669
2024-01-18,59.71214210526316
2024-01-19,116.22645563909774
2024-01-20,92.46051654135339
2024-01-21,35.820721052631576
2024-01-22,71.23067113095237
2024-01-23,49.688462406015034
2024-01-24,74.88093233082706
2024-01-25,34.46078270676692
2024-01-26,134.35292706766919
2024-01-27,152.64965939849623
2024-01-28,157.68253007518797
2024-01-29,133.07576691729324
2024-01-30,34.91086165413534
2024-01-31,66.1620045112782
2024-02-01,182.87513007518797
2024-02-02,46.40633233082707
2024-02-03,19.42616992481203
2024-02-04,27.222718045112778
2024-02-05,45.42539172932331
2024-02-06,27.22223909774436
2024-02-07,30.547460150375944
2024-02-08,17.48288195488722
2024-02-09,60.562192481203006
2024-02-10,80.91802105263157
2024-02-11,67.06392857142856
2024-02-12,142.45563458646618
2024-02-13,151.39327218045113
2024-02-14,25.087369924812027
2024-02-15,97.63791654135339
2024-02-16,38.780513533834586
2024-02-17,128.29196766917295
2024-02-18,27.513044360902256
2024-02-19,44.95868796992481
2024-02-20,104.57453383458648
2024-02-21,43.33818120300752
2024-02-22,50.404900000000005
2024-02-23,103.87460751879699
2024-02-24,94.91773834586466
2024-02-25,133.21515112781955
2024-02-26,29.270033834586464
2024-02-27,207.06535864661657
2024-02-28,102.99239248120301
2024-02-29,45.202531578947365
2024-03-01,125.59973383458647
2024-03-02,163.7542812030075
2024-03-03,76.51184586466165
2024-03-04,268.08047067669173
2024-03-05,78.3013902255639
2024-03-06,233.46085037593983
2024-03-07,275.02225187969924
2024-03-08,336.0185887218045
2024-03-09,182.26906090225563
2024-03-10,93.12596541353383
2024-03-11,36.25256541353383
2024-03-12,68.83735413533834
2024-03-13,65.5570127819549
2024-03-14,278.89674812030074
2024-03-15,118.54162180451127
2024-03-16,123.24723233082706
2024-03-17,120.08014736842105
2024-03-18,211.09862857142855
2024-03-19,250.81096842105262
2024-03-20,259.8829270676692
2024-03-21,148.55835338345864
2024-03-22,76.75840075187969
2024-03-23,239.05423458646615
2024-03-24,168.0013030075188
2024-03-25,307.3015789473684
2024-03-26,169.83738947368423
2024-03-27,181.61313684210526
2024-03-28,226.10273984962407
2024-03-29,213.77361503759397
2024-03-30,96.20364360902256
2024-03-31,169.80244887218046
2024-04-01,225.00607894736845
2024-04-02,131.34508496240602
2024-04-03,139.88870902255638
2024-04-04,207.80341278195488
2024-04-05,172.6908939849624
2024-04-06,295.9509496240601
2024-04-07,318.8421436090225
2024-04-08,253.1383781954887
2024-04-09,216.7848812030075
2024-04-10,397.98433909774434
2024-04-11,96.81685789473684
2024-04-12,290.92271353383455
2024-04-13,390.97634285714287
2024-04-14,286.7511203007519
2024-04-15,181.85950977443608
2024-04-16,160.27137894736842
2024-04-17,230.95367744360902
2024-04-18,312.3094759398496
2024-04-19,170.03925112781954
2024-04-20,242.75704962406013
2024-04-21,305.1607939849624
2024-04-22,306.276130075188
2024-04-23,387.04484812030074
2024-04-24,277.51893909774435
2024-04-25,193.23448947368422
2024-04-26,203.44709022556393
2024-04-27,220.13128120300752
2024-04-28,202.46163007518797
2024-04-29,380.02851278195493
2024-04-30,308.391207518797
2024-05-01,425.3346255639098
2024-05-02,218.59056766917294
2024-05-03,200.31762180451125
2024-05-04,241.62794060150378
2024-05-05,330.1250067669173
2024-05-06,158.32605338345866
2024-05-07,311.42296992481204
2024-05-08,119.38856616541354
2024-05-09,383.61101428571425
2024-05-10,439.12868270676694
2024-05-11,480.2619954887218
2024-05-12,422.3742120300752
2024-05-13,342.9969045112782
2024-05-14,359.8386097744361
2024-05-15,179.13313007518798
2024-05-16,221.37710300751883
2024-05-17,217.23482481203007
2024-05-18,225.98168195488722
2024-05-19,311.95407744360904
2024-05-20,343.16450000000003
2024-05-21,163.2375022556391
2024-05-22,241.09400977443607
2024-05-23,353.03856390977444
2024-05-24,197.57688721804513
2024-05-25,289.04646766917296
2024-05-26,266.17693233082707
2024-05-27,265.9952248120301
2024-05-28,263.9742992481203
2024-05-29,315.0893007518797
2024-05-30,302.39965789473683
2024-05-31,232.53939398496237
2024-06-01,61.80229624060151
2024-06-02,276.7270932330827
2024-06-03,291.9921977443609
2024-06-04,353.16172781954884
2024-06-05,404.32692932330826
2024-06-06,405.90735112781954
2024-06-07,490.3953421052632
2024-06-08,384.01970902255636
2024-06-09,553.1058105263157
2024-06-10,203.7985120300752
2024-06-11,377.6911804511278
2024-06-12,328.64583684210527
2024-06-13,416.0763812030075
2024-06-14,200.5730812030075
2024-06-15,304.3096857142857
2024-06-16,304.9147639097744
2024-06-17,359.9733909774436
2024-06-18,117.31633157894736
2024-06-19,393.669207518797
2024-06-20,257.09059248120303
2024-06-21,132.3505165413534
2024-06-22,315.964937593985
