Date,MW
2025-07-29,364.24518274582556
2025-07-30,372.07429017857146
2025-07-31,208.94997321428573
2025-08-01,350.94918080357144
2025-08-02,273.37168973214284
2025-08-03,406.3572663690476
2025-08-04,325.0211592261905
2025-08-05,402.94108482142855
2025-08-06,416.93287946428575
2025-08-07,385.02671205357143
2025-08-08,251.65893452380953
2025-08-09,486.3209263392857
2025-08-10,464.20494568452386
2025-08-11,503.69596651785713
2025-08-12,458.74543750000004
2025-08-13,393.5383824404762
2025-08-14,407.5819456845238
2025-08-15,453.61491517857144
2025-08-16,120.45813690476191
2025-08-17,413.15892857142853
2025-08-18,359.53499999999997
2025-08-19,457.77257514880955
2025-08-20,355.1475925324675
