Date,Wind,Zon
2024-10-15,,142.00997518796993
2024-10-16,,161.62307514880953
2024-10-17,,99.81889806547618
2024-10-18,,56.1510625
2024-10-19,,91.4384568452381
2024-10-20,,108.98755505952381
2024-10-21,,45.114906994047615
2024-10-22,,211.1807961309524
2024-10-23,,267.31462202380953
2024-10-24,,274.5737857142857
2024-10-25,,229.4948132440476
2024-10-26,,229.21187648809524
2024-10-27,,162.8593244047619
2024-10-28,,103.36187872023808
2024-10-29,,66.47148288690475
2024-10-30,,47.84265773809524
2024-10-31,,161.74833407738095
2024-11-01,,29.840587797619047
2024-11-02,,36.77439508928571
2024-11-03,,78.78839657738095
2024-11-04,,111.89005208333334
2024-11-05,,76.65110193452381
2024-11-06,,25.38951785714286
2024-11-07,,28.321604910714285
2024-11-08,,18.13710788690476
2024-11-09,,22.39166369047619
2024-11-10,,27.680299107142858
2024-11-11,,101.438515625
2024-11-12,,63.333827380952386
2024-11-13,,101.60497619047618
2024-11-14,,45.7697775297619
2024-11-15,,29.743068452380953
2024-11-16,,41.12663169642857
2024-11-17,,71.61998883928571
2024-11-18,,75.54986458333333
2024-11-19,,9.43159375
2024-11-20,,110.11589880952381
2024-11-21,,29.50578125
2024-11-22,,72.08021875
2024-11-23,,31.91513020833333
2024-11-24,,104.45733258928571
2024-11-25,,12.257107142857143
2024-11-26,,78.51162276785715
2024-11-27,,15.828194196428573
2024-11-28,,139.75657366071428
2024-11-29,,168.92873958333334
2024-11-30,,123.0243549107143
2024-12-01,,103.37541889880951
2024-12-02,,62.753605654761905
2024-12-03,,55.88865401785714
2024-12-04,,42.95164211309524
2024-12-05,,11.353347470238095
2024-12-06,,72.91284449404762
2024-12-07,,53.352659226190475
2024-12-08,,19.47575744047619
2024-12-09,,12.91710044642857
2024-12-10,,9.75158482142857
2024-12-11,,10.815704613095239
2024-12-12,,22.18294642857143
2024-12-13,,17.74230431547619
2024-12-14,,21.274043154761905
2024-12-15,,23.468267113095237
2024-12-16,,19.12291517857143
2024-12-17,,26.623988839285715
2024-12-18,,23.77514211309524
2024-12-19,,27.733385416666664
2024-12-20,,101.43602083333333
2024-12-21,,15.440877232142858
2024-12-22,,50.798864583333334
2024-12-23,,50.72785044642857
2024-12-24,,15.113831845238094
2024-12-25,,15.915022321428571
2024-12-26,,25.70830580357143
2024-12-27,,44.344825892857145
2024-12-28,,121.56230654761904
2024-12-29,,16.232746279761905
2024-12-30,,18.24316369047619
2024-12-31,,24.213470238095237
2025-01-01,,10.434817708333334
2025-01-02,,84.32342261904762
2025-01-03,,109.78997544642858
2025-01-04,,57.840136904761906
