YearMonth,Wind,Zon
2024-04-15,382.2606441424899,
2024-05-15,161.4203931451613,
2024-06-15,180.00431527777778,
2024-07-15,183.2193931451613,
2024-08-15,201.4486176075269,
2024-09-15,258.01712013888886,
2024-10-15,213.1415127688172,
2024-11-15,274.57853125,
2024-12-15,424.2971733870968,
2025-01-15,284.1115685483871,
2025-02-15,276.0068370535714,
2025-03-15,153.43383870967742,
2025-04-15,182.41823873239437,
2025-05-15,242.58458131720428,
2025-06-15,247.32165555555554,
2025-07-15,142.8715806451613,
2025-08-15,173.92272379032258,
2025-09-15,322.62974930555555,251.60757183398366
2025-10-15,337.2145732526881,132.5380380904378
2025-11-15,415.52199513888894,93.0861079861111
2025-12-15,486.3960443548387,70.90838200844854
2026-01-15,407.32596572580644,71.85448780721966
2026-02-15,354.65186865671643,102.29641663113007
