Date,Wind,Zon
2021-06-02,119.13702127659573,
2021-06-03,117.33395833333334,
2021-06-04,35.5738125,
2021-06-05,85.1519375,
2021-06-06,15.436666666666667,
2021-06-07,27.465333333333334,
2021-06-08,9.112208333333333,
2021-06-09,60.71035416666667,
2021-06-10,51.365291666666664,
2021-06-11,122.36106249999999,
2021-06-12,64.66495833333333,
2021-06-13,12.967375,
2021-06-14,42.827625,
2021-06-15,80.3265625,
2021-06-16,50.655,
2021-06-17,137.60731249999998,
2021-06-18,163.56547916666665,
2021-06-19,90.47652083333332,
2021-06-20,133.84329166666666,
2021-06-21,414.4331041666666,
2021-06-22,390.18808333333334,
2021-06-23,91.83766666666666,
2021-06-24,25.156187499999998,
2021-06-25,171.9055,
2021-06-26,21.670354166666666,
2021-06-27,92.29956250000001,
2021-06-28,14.917645833333333,
2021-06-29,99.51710416666667,
2021-06-30,120.84883333333333,
2021-07-01,82.04229166666667,
2021-07-02,22.864354166666665,
2021-07-03,90.46177083333333,
2021-07-04,83.32718750000001,
2021-07-05,157.00141666666664,
2021-07-06,620.6566875000001,
2021-07-07,236.75391666666667,
2021-07-08,64.03689583333333,
2021-07-09,33.498062499999996,
2021-07-10,8.846895833333333,
2021-07-11,7.649,
2021-07-12,29.62066666666667,
2021-07-13,209.76354166666667,
2021-07-14,461.19762499999996,
2021-07-15,452.37166666666667,
2021-07-16,187.47468750000002,
2021-07-17,100.0175,
2021-07-18,52.036791666666666,
2021-07-19,33.39689583333333,
2021-07-20,34.3008125,
2021-07-21,20.33160416666667,
2021-07-22,50.084520833333336,
2021-07-23,165.93814583333332,
2021-07-24,120.51997916666666,
2021-07-25,36.736312500000004,
2021-07-26,59.11147916666666,
2021-07-27,209.7955,
2021-07-28,561.08125,
2021-07-29,490.72718749999996,
2021-07-30,454.6553333333333,
2021-07-31,336.0695416666667,
2021-08-01,58.5335625,
2021-08-02,17.3250625,
2021-08-03,6.605416666666667,
2021-08-04,0.38866666666666666,
2021-08-05,103.03975,
2021-08-06,540.1008333333333,
2021-08-07,390.2816666666667,
2021-08-08,603.86575,
2021-08-09,480.75466666666665,
2021-08-10,155.91293750000003,
2021-08-11,45.17758333333334,
2021-08-12,52.09229166666667,
2021-08-13,225.81622916666666,
2021-08-14,84.98291666666667,
2021-08-15,281.6849375,
2021-08-16,322.57377083333336,
2021-08-17,244.78360416666666,
2021-08-18,177.87802083333332,
2021-08-19,194.75758333333334,
2021-08-20,57.642500000000005,
2021-08-21,19.386625,
2021-08-22,200.43939583333335,
2021-08-23,290.761625,
2021-08-24,285.0353958333333,
2021-08-25,134.80441666666667,
2021-08-26,311.1301666666667,
2021-08-27,211.08797916666666,
2021-08-28,315.4197291666667,
2021-08-29,302.81260416666663,
2021-08-30,261.7381458333333,
2021-08-31,181.00118750000001,
2021-09-01,100.10522916666667,
2021-09-02,129.6020625,
2021-09-03,152.87214583333335,
2021-09-04,143.08735416666664,
2021-09-05,56.28010416666667,
2021-09-06,14.212124999999999,
2021-09-07,59.20922916666667,
2021-09-08,121.58483333333334,
2021-09-09,93.2385,
2021-09-10,181.91929166666665,
2021-09-11,218.27210416666668,
2021-09-12,36.91970833333333,
2021-09-13,65.36175,
2021-09-14,84.98191666666666,
2021-09-15,79.6665,
2021-09-16,33.05404166666667,
2021-09-17,33.984229166666665,
2021-09-18,70.09316666666668,
2021-09-19,41.3989375,
2021-09-20,88.51891666666667,
2021-09-21,18.130999999999997,
2021-09-22,39.25985416666666,
2021-09-23,264.0187291666667,
2021-09-24,225.82216666666667,
2021-09-25,34.2546875,
2021-09-26,108.40681249999999,
2021-09-27,468.80272916666667,
2021-09-28,326.029375,
2021-09-29,572.2801875,
2021-09-30,471.7081666666666,
2021-10-01,572.5060625,
2021-10-02,498.7616458333333,
2021-10-03,464.3968125,
2021-10-04,507.4294375,
2021-10-05,629.8076041666667,
2021-10-06,535.1315416666666,
2021-10-07,13.886166666666666,
2021-10-08,48.280625,
2021-10-09,42.779125,
2021-10-10,63.688,
2021-10-11,113.76516666666666,
2021-10-12,227.37491666666668,
2021-10-13,72.1274375,
2021-10-14,253.19952083333334,
2021-10-15,200.7891875,
2021-10-16,41.175041666666665,
2021-10-17,147.60772916666667,
2021-10-18,315.4750833333334,
2021-10-19,598.8789583333333,
2021-10-20,706.787625,
2021-10-21,614.1404166666667,
2021-10-22,446.3508958333333,
2021-10-23,84.6429375,
2021-10-24,305.9723333333333,
2021-10-25,307.28416666666664,
2021-10-26,385.4860208333333,
2021-10-27,464.98506249999997,
2021-10-28,483.80610416666667,
2021-10-29,613.2614791666667,
2021-10-30,455.0596875,
2021-10-31,591.1983913043479,
2021-11-01,610.7975416666667,
2021-11-02,105.23495833333332,
2021-11-03,50.009750000000004,
2021-11-04,306.98645833333336,
2021-11-05,181.59633333333335,
2021-11-06,536.40275,
2021-11-07,509.1565,
2021-11-08,57.448729166666666,
2021-11-09,176.170875,
2021-11-10,55.422916666666666,
2021-11-11,29.861187500000003,
2021-11-12,441.2079166666666,
2021-11-13,291.8352291666667,
2021-11-14,100.23995833333333,
2021-11-15,62.096979166666664,
2021-11-16,37.357166666666664,
2021-11-17,171.23983333333334,
2021-11-18,272.6852083333333,
2021-11-19,127.64858333333333,
2021-11-20,106.7804375,
2021-11-21,353.2913541666667,
2021-11-22,279.4490416666667,
2021-11-23,39.79214583333333,
2021-11-24,23.05229166666667,
2021-11-25,224.29952083333333,
2021-11-26,483.1131666666667,
2021-11-27,184.65727083333334,
2021-11-28,335.621375,
2021-11-29,370.7256875,
