Datum,ANDERE,DERDEN,INFRABEL,NMBS
2018-01-15,4.0189125295508275,46.217494089834524,16.37115839243499,33.39243498817967
2018-02-15,1.193247962747381,71.39115250291036,8.41094295692666,19.0046565774156
2018-03-15,2.191341528594335,49.225013361838585,13.4152859433458,35.16835916622127
2018-04-15,1.035911602209945,42.74861878453038,17.74861878453039,38.466850828729285
2018-05-15,3.3021192705766387,45.34253326761952,15.968457368161658,35.386890093642194
2018-06-15,1.6090104585679812,51.810136765888984,9.855189058728882,36.72566371681416
2018-07-15,2.8037383177570088,47.073290703394,17.412690605017218,32.710280373831765
2018-08-15,3.478686918177364,50.465458108770214,13.081822635962759,32.97403233708966
2018-09-15,0.6284658040665434,46.87615526802218,14.75046210720887,37.7449168207024
2018-10-15,7.0995670995671,37.35930735930736,16.66666666666667,38.874458874458874
2018-11-15,3.460912052117264,39.25081433224756,20.15472312703583,37.13355048859935
2018-12-15,2.7423167848699768,42.269503546099294,14.609929078014181,40.37825059101655
2019-01-15,10.06175081729023,38.14021067925899,15.32873229204504,36.46930621140574
2019-02-15,2.735849056603774,44.62264150943396,16.13207547169811,36.50943396226415
2019-03-15,5.029940119760479,56.087824351297414,14.21157684630739,24.67065868263473
2019-04-15,3.7593984962406015,47.19150818222025,22.37947810703229,26.669615214506848
2019-05-15,7.123287671232877,61.826484018264836,10.410958904109592,20.639269406392692
2019-06-15,2.921810699588477,42.0164609053498,23.74485596707819,31.31687242798354
2019-07-15,8.284228769497402,44.61005199306759,11.19584055459272,35.90987868284229
2019-08-15,3.713389121338912,42.677824267782434,17.78242677824268,35.82635983263598
2019-09-15,5.061675882603148,39.17481922586133,21.225010633772857,34.53849425776265
2019-10-15,3.761622992392223,31.69907016060862,24.93660185967878,39.60270498732037
2019-11-15,2.428166734115743,29.17847025495751,24.200728450020232,44.192634560906505
2019-12-15,3.4129692832764515,43.43003412969283,19.75255972696246,33.40443686006826
2020-01-15,2.764067127344521,47.680157946692994,16.28825271470879,33.2675222112537
2020-02-15,4.3560606060606055,54.43181818181818,18.371212121212118,22.84090909090909
2020-03-15,1.8290538163911358,53.04256067534294,12.09989447766444,33.02849103060148
2020-04-15,4.178674351585014,55.763688760806915,15.56195965417868,24.49567723342939
2020-05-15,5.882352941176471,48.73065015479876,17.08978328173375,28.297213622291018
2020-06-15,1.480263157894737,39.08991228070176,28.01535087719298,31.41447368421053
2020-07-15,2.3636363636363638,52.72727272727272,13.27272727272727,31.63636363636363
2020-08-15,7.5295275590551185,36.958661417322844,18.25787401574803,37.25393700787402
2020-09-15,2.090106827682304,33.999071063632144,28.14677194612169,35.76405016256387
2020-10-15,7.083333333333333,37.08333333333333,19.89583333333333,35.9375
2020-11-15,7.968749999999999,40.36458333333333,19.6875,31.979166666666657
2020-12-15,5.160239000543183,42.69418794133623,16.29549158066268,35.8500814774579
2021-01-15,3.2071269487750547,35.05567928730512,23.78619153674833,37.951002227171486
2021-02-15,11.32667617689016,42.02567760342368,13.72325249643367,32.9243937232525
2021-03-15,1.9103600293901541,44.93019838354151,19.54445260837619,33.61498897869214
2021-04-15,3.423236514522822,43.46473029045643,17.53112033195021,35.58091286307054
2021-05-15,2.322524101665206,41.45486415425066,29.49167397020158,26.730937773882562
2021-06-15,2.884927066450567,35.267423014586704,20.48622366288493,41.361426256077785
2021-07-15,1.002925198495612,78.91767655662349,5.641454241537819,14.43794400334308
2021-08-15,4.120213281628696,41.20213281628696,20.0678623364033,34.60979156568105
2021-09-15,2.955480733258511,37.41114852225964,23.30714552936775,36.326225215114114
2021-10-15,1.03862382343395,41.86952288218111,14.5407335280753,42.55111976630964
2021-11-15,1.8837803320561939,43.358876117496806,13.856960408684548,40.90038314176245
2021-12-15,2.389572773352643,35.08327299058653,17.74076755973932,44.7863866763215
2022-01-15,2.189239332096475,37.06864564007421,13.209647495361779,47.53246753246753
2022-02-15,2.450861441397719,71.48750303324437,7.206988595001214,18.85464693035671
2022-03-15,3.8066954643628512,42.035637149028084,15.523758099352051,38.63390928725702
2022-04-15,5.897501931496266,48.98274530002575,11.305691475663151,33.81406129281483
2022-05-15,5.241148592138277,36.82743239475885,18.985224421522158,38.946194591580706
2022-06-15,2.1722265321955008,37.70364623739333,11.042151538660459,49.08197569175071
2022-07-15,3.6630036630036633,35.05212735981967,14.623837700760781,46.66103127641589
2022-08-15,5.579399141630902,32.18884120171674,11.002731174404989,51.229028482247365
2022-09-15,2.479100605361776,38.80080714903431,18.24733352551167,40.47275872009224
2022-10-15,1.324854266030737,40.88500264970853,19.6078431372549,38.18229994700583
2022-11-15,1.7801374141161772,41.505309181761405,17.14553404122423,39.56901936289819
2022-12-15,1.0944395410414829,32.815533980582515,12.780229479258608,53.30979699911739
2023-01-15,2.509907529722589,44.98018494055482,11.49273447820343,41.017173051519165
2023-02-15,4.435483870967742,28.459252971137524,16.468590831918508,50.63667232597623
2023-03-15,7.132132132132132,37.78778778778779,14.714714714714711,40.365365365365356
2023-04-15,2.5114854517611027,35.40581929555896,15.22205206738132,46.86064318529862
2023-05-15,1.862809555117247,37.67258382642998,22.57286872671488,37.89173789173789
2023-06-15,4.655781112091792,32.36981465136805,21.668137687555163,41.306266548984986
2023-07-15,3.910181958962447,42.81842818428184,13.975996902826171,39.29539295392954
2023-08-15,2.31433506044905,43.3160621761658,17.374784110535398,36.994818652849744
2023-09-15,3.286516853932584,37.97752808988764,13.53932584269663,45.19662921348315
2023-10-15,4.288829658347468,36.17639932154107,17.27647201356918,42.25829900654228
