Asset Management,Audit Comité,CEO office,Company Secretary,Compliance & Investigation Office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,Projects,Strategy & Corporate & Public Affairs,Supply Chain
0.0,9.0,3.0,1.0,2.0,479.0,128.0,165.0,706.0,1448.0,57.0,76.0,250.0
0.0,9.0,3.0,1.0,2.0,479.0,128.0,161.0,707.0,1447.0,58.0,74.0,247.0
0.0,8.0,3.0,1.0,2.0,489.0,130.0,166.0,726.0,1512.0,59.0,78.0,254.0
0.0,8.0,3.0,1.0,2.0,492.0,132.0,165.0,729.0,1519.0,56.0,78.0,254.0
0.0,8.0,3.0,1.0,2.0,495.0,131.0,169.0,726.0,1537.0,63.0,76.0,259.0
0.0,8.0,3.0,1.0,2.0,493.0,131.0,161.0,734.0,1523.0,60.0,74.0,261.0
0.0,9.0,4.0,1.0,2.0,492.0,134.0,165.0,735.0,1532.0,62.0,77.0,265.0
0.0,9.0,4.0,1.0,2.0,492.0,134.0,169.0,736.0,1538.0,59.0,76.0,261.0
0.0,10.0,4.0,1.0,2.0,492.0,134.0,168.0,722.0,1493.0,62.0,75.0,262.0
0.0,10.0,4.0,1.0,2.0,486.0,131.0,166.0,727.0,1490.0,58.0,79.0,260.0
0.0,10.0,4.0,1.0,6.0,504.0,133.0,172.0,750.0,1539.0,63.0,80.0,268.0
0.0,10.0,4.0,1.0,6.0,508.0,133.0,176.0,757.0,1561.0,60.0,82.0,275.0
0.0,10.0,4.0,1.0,6.0,519.0,133.0,175.0,761.0,1546.0,62.0,83.0,274.0
0.0,10.0,4.0,1.0,6.0,517.0,134.0,173.0,760.0,1561.0,63.0,81.0,274.0
0.0,10.0,27.0,1.0,6.0,510.0,133.0,176.0,772.0,768.0,771.0,80.0,404.0
0.0,9.0,27.0,1.0,6.0,505.0,135.0,175.0,765.0,756.0,757.0,81.0,404.0
0.0,10.0,28.0,1.0,6.0,506.0,134.0,175.0,764.0,759.0,768.0,79.0,404.0
