Asset Management,Audit Comité,CEO office,Company Secretary,Compliance & Investigation Office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,Projects,Strategy & Corporate & Public Affairs,Supply Chain
0.0,7.111,10.333,12.0,11.0,9.516,9.882,7.981,8.814,6.847,5.81,9.689,7.255
0.0,10.75,12.333,22.0,13.5,10.889,11.906,9.837,10.929,8.285,6.864,11.487,9.342
0.0,9.5,8.666,16.0,13.0,10.193,10.81,9.0,10.097,7.758,6.214,10.41,8.511
0.0,10.375,12.333,20.0,9.5,10.373,10.946,9.273,10.341,8.078,5.777,10.746,8.907
0.0,11.25,13.666,16.0,12.5,10.277,11.106,8.968,10.662,7.743,6.566,10.27,8.517
0.0,9.555,11.25,16.0,11.0,9.786,10.783,8.406,9.593,7.35,5.725,9.948,7.924
0.0,9.666,9.0,17.0,9.0,10.315,10.873,8.621,9.66,7.671,6.542,10.189,8.251
0.0,7.333,7.666,11.0,13.5,9.204,9.661,8.072,9.625,7.287,6.258,10.098,7.923
0.0,6.8,9.5,13.0,11.0,8.744,9.175,7.524,8.835,6.68,5.31,8.41,7.291
0.0,10.0,11.0,19.0,10.166,10.49,11.248,9.563,10.537,8.117,6.46,10.772,8.593
0.0,11.9,11.75,16.0,12.333,11.082,12.628,9.77,11.205,8.615,7.65,11.148,9.4
0.0,8.6,11.75,17.0,11.333,9.843,10.511,8.982,9.646,7.431,6.161,9.891,8.113
0.0,7.3,10.5,13.0,13.0,10.336,11.141,8.36,9.544,7.19,6.174,9.839,7.894
0.0,10.9,10.37,16.0,12.333,10.59,11.338,9.386,10.279,8.421,7.165,10.518,8.332
0.0,9.444,9.814,16.0,10.833,9.627,10.744,8.556,9.761,7.934,6.706,10.317,7.737
0.0,10.0,10.285,18.0,12.666,10.909,11.762,9.835,10.776,8.814,7.363,11.375,8.534
