Asset Management,Audit Comité,CEO office,Company Secretary,Compliance & Investigation Office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,Projects,Strategy & Corporate & Public Affairs,Supply Chain
0.0,105.0,57.0,16.0,20.0,4798.0,1454.0,1374.0,6855.0,10883.0,323.0,786.0,2025.0
0.0,91.0,52.0,18.0,24.0,4411.0,1381.0,1427.0,6447.0,10729.0,303.0,793.0,2061.0
0.0,91.0,44.0,12.0,27.0,4323.0,1215.0,1315.0,6396.0,10423.0,288.0,731.0,1950.0
0.0,56.0,47.0,10.0,18.0,4140.0,1215.0,1246.0,5876.0,9327.0,276.0,607.0,1819.0
0.0,87.0,49.0,19.0,19.0,4834.0,1391.0,1579.0,6794.0,11122.0,384.0,858.0,2024.0
0.0,103.0,50.0,17.0,28.0,5377.0,1601.0,1680.0,7885.0,12496.0,392.0,876.0,2323.0
0.0,92.0,48.0,17.0,24.0,4597.0,1342.0,1425.0,6745.0,10731.0,338.0,789.0,2036.0
0.0,64.0,37.0,12.0,22.0,4534.0,1265.0,1283.0,6216.0,9878.0,335.0,731.0,1789.0
0.0,86.0,45.0,22.0,27.0,5276.0,1536.0,1641.0,7910.0,12552.0,400.0,910.0,2371.0
0.0,76.0,37.0,16.0,26.0,4969.0,1427.0,1496.0,7338.0,11735.0,339.0,812.0,2160.0
0.0,83.0,46.0,20.0,19.0,5093.0,1434.0,1583.0,7507.0,12345.0,352.0,806.0,2295.0
0.0,90.0,53.0,16.0,25.0,5038.0,1455.0,1479.0,7827.0,11782.0,358.0,760.0,2209.0
0.0,86.0,55.0,16.0,22.0,4806.0,1445.0,1412.0,7041.0,11227.0,323.0,766.0,2099.0
0.0,87.0,48.0,17.0,18.0,5042.0,1457.0,1490.0,7075.0,11752.0,345.0,754.0,2150.0
0.0,66.0,36.0,11.0,27.0,4412.0,1285.0,1356.0,6868.0,10787.0,346.0,710.0,2064.0
0.0,68.0,44.0,13.0,22.0,4239.0,1202.0,1253.0,6428.0,9888.0,278.0,656.0,1899.0
0.0,100.0,57.0,19.0,61.0,5266.0,1496.0,1648.0,7907.0,12424.0,384.0,851.0,2301.0
0.0,119.0,59.0,16.0,74.0,5608.0,1667.0,1686.0,8463.0,13411.0,441.0,903.0,2571.0
0.0,86.0,52.0,17.0,68.0,5079.0,1398.0,1566.0,7332.0,11432.0,359.0,821.0,2215.0
0.0,73.0,49.0,13.0,78.0,5314.0,1493.0,1438.0,7254.0,11239.0,369.0,797.0,2162.0
0.0,109.0,280.0,16.0,74.0,5388.0,1508.0,1652.0,7956.0,6463.0,5521.0,852.0,3388.0
0.0,85.0,265.0,16.0,65.0,4888.0,1429.0,1506.0,7516.0,5973.0,5104.0,846.0,3149.0
