25-,26 - 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,56 - 60,61 - 65,> 65
188.0,599.0,1130.0,1482.0,1686.0,1634.0,1388.0,843.0,509.0,80.0
197.0,604.0,1134.0,1481.0,1690.0,1634.0,1390.0,842.0,501.0,80.0
200.0,602.0,1131.0,1481.0,1682.0,1643.0,1391.0,842.0,495.0,75.0
211.0,616.0,1134.0,1485.0,1687.0,1647.0,1394.0,840.0,479.0,71.0
209.0,614.0,1135.0,1482.0,1687.0,1645.0,1394.0,839.0,468.0,65.0
208.0,619.0,1132.0,1476.0,1685.0,1643.0,1397.0,840.0,456.0,61.0
211.0,632.0,1137.0,1477.0,1686.0,1644.0,1395.0,838.0,453.0,57.0
214.0,633.0,1139.0,1474.0,1680.0,1646.0,1391.0,840.0,427.0,53.0
218.0,632.0,1138.0,1479.0,1676.0,1651.0,1395.0,842.0,421.0,52.0
220.0,628.0,1130.0,1467.0,1647.0,1640.0,1387.0,841.0,414.0,48.0
228.0,628.0,1144.0,1480.0,1661.0,1652.0,1394.0,839.0,412.0,43.0
254.0,635.0,1149.0,1489.0,1678.0,1653.0,1397.0,838.0,410.0,40.0
261.0,643.0,1150.0,1487.0,1683.0,1657.0,1395.0,836.0,407.0,34.0
274.0,653.0,1164.0,1496.0,1679.0,1656.0,1394.0,835.0,402.0,31.0
276.0,653.0,1170.0,1497.0,1676.0,1657.0,1390.0,832.0,400.0,30.0
284.0,661.0,1177.0,1506.0,1680.0,1654.0,1391.0,830.0,387.0,30.0
287.0,663.0,1175.0,1505.0,1684.0,1649.0,1388.0,826.0,384.0,29.0
292.0,666.0,1181.0,1506.0,1682.0,1648.0,1388.0,828.0,377.0,28.0
299.0,673.0,1184.0,1509.0,1686.0,1651.0,1385.0,829.0,374.0,27.0
310.0,679.0,1200.0,1513.0,1690.0,1651.0,1387.0,828.0,351.0,25.0
316.0,681.0,1204.0,1518.0,1681.0,1646.0,1386.0,830.0,344.0,26.0
320.0,689.0,1199.0,1503.0,1650.0,1636.0,1383.0,827.0,334.0,25.0
334.0,692.0,1209.0,1521.0,1676.0,1644.0,1384.0,831.0,331.0,24.0
362.0,704.0,1225.0,1533.0,1705.0,1648.0,1392.0,834.0,329.0,25.0
